name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)네패스,33640,Dec-10,125909792,113768811,326570120,58516086,179478882,272781707,385,11012587,147091238,12173556,16450,29730047,8.48
(주)네패스,33640,Dec-11,102553205,77199149,319659039,55157376,176251883,276089822,427,11012587,143407156,-2295720,16500,19031713,-1.63
(주)네패스,33640,Dec-12,97840711,90880961,338761029,63391921,181926761,290541326,562,11012587,156834268,11958578,13950,41458626,7.56
(주)네패스,33640,Dec-13,136002411,151255807,395087608,39514414,278497181,364128942,604,11012587,116590427,-45807816,6720,-920160,-24.11
(주)네패스,33640,Dec-14,151243455,109169428,385538915,30620778,236100349,328792875,558,11012587,149438567,-11628273,8580,6851009,-6.73
(주)네패스,33640,Dec-15,106259796,116046574,355858618,21575628,217765775,279220555,588,11012587,138092844,-16324419,5980,3876809,-7.49
(주)네패스,33640,Dec-16,100145766,126581891,298597454,38162245,182776266,254535006,634,11012587,115821188,17966353,8280,8242290,15.21
(주)네패스,33640,Dec-17,104151054,106206322,308121193,44564954,187246466,285034101,679,11089078,120874727,3941829,9450,19305346,5.05
(주)네패스,33640,Dec-18,95984960,111070018,281991633,66974545,140785218,273317888,683,11586271,141206415,22949184,9810,22028888,17.13
(주)네패스,33640,Dec-19,193515638,139149464,521648374,95969930,331008677,356317076,717,11629601,190639697,31091671,24050,61591419,17.12
(주)네패스,33640,Dec-20,237866829,133295979,801694288,40417290,541088884,343559677,583,11629601,260605404,-62661070,42500,-3566838,-23.41
(주)뉴인텍,12340,Dec-10,35980843,30871269,62612046,7153850,34492912,56835516,146,16516517,28119134,258965,2285,2595378,1.09
(주)뉴인텍,12340,Dec-11,43238195,39755997,72038395,6887171,43549079,58341797,156,16516517,28489316,-249628,1850,1455967,-0.88
(주)뉴인텍,12340,Dec-12,34139917,32906097,59766954,-2639971,39103945,52010833,150,17290927,20663010,-9081082,1150,-5878917,-36.95
(주)뉴인텍,12340,Dec-13,34549225,37696491,58727393,-5571019,40876753,55876597,150,17290927,17850640,-3087073,1410,-1795969,-16.03
(주)뉴인텍,12340,Dec-14,33425539,32645106,55236132,-6324272,36551583,57446183,154,19062580,18684549,-3299830,770,-4401128,-18.06
(주)뉴인텍,12340,Dec-15,27625927,30018369,51501516,-7730578,34278251,50090372,151,19062580,17223265,-1656483,1920,-804024,-9.23
(주)뉴인텍,12340,Dec-16,21589024,20250203,44566833,-17535983,25479844,47895458,143,24562580,19086989,-9653746,1125,-9271971,-53.17
(주)뉴인텍,12340,Dec-17,20912854,22201653,43898571,-21616357,29154504,50296811,146,24562580,14744067,-3572013,1050,-1621779,-21.12
(주)뉴인텍,12340,Dec-18,19964638,21762959,42464348,-25039489,28153135,50073204,146,27066754,14311213,-3941089,815,-2987869,-27.13
(주)뉴인텍,12340,Dec-19,26197526,17585808,49776532,-26375447,22767099,54414657,142,15022251,27009433,-1101245,1660,272960,-5.33
(주)뉴인텍,12340,Dec-20,24943726,19297095,52252800,132051,24768838,57599122,165,15022251,27483962,397622,2990,725247,1.46
(주)뉴프렉스,85670,Dec-10,34594998,25789703,80073519,17696333,43496530,71160657,303,6063579,36576989,-1669858,2270,,-4.32
(주)뉴프렉스,85670,Dec-11,36752616,30961529,83199584,16984654,47446196,69161654,324,6063579,35753388,-700995,1585,1060359,-1.71
(주)뉴프렉스,85670,Dec-12,47612630,38891029,94612900,19079809,56703297,115200892,348,6063579,37909603,2247470,4720,4140607,6.07
(주)뉴프렉스,85670,Dec-13,49595956,46233941,101628162,15574165,67131365,135289597,394,6073579,34496797,-3635586,2910,1391336,-9.92
(주)뉴프렉스,85670,Dec-14,48085118,43331568,101289139,17532616,64613704,137800531,470,6073579,36675435,2252975,2075,3819170,5.86
(주)뉴프렉스,85670,Dec-15,61395108,57174478,120349410,16200000,79570002,120624038,482,6073579,40779408,-1628513,2725,-1198001,-4.61
(주)뉴프렉스,85670,Dec-16,49101290,44679971,107094374,13623040,67234424,145216489,396,6113579,39859950,-2492083,3955,891381,-6.55
(주)뉴프렉스,85670,Dec-17,57016614,53654052,118913434,17312267,72407960,152715761,443,6770482,46505473,4313976,5090,7066663,9.39
(주)뉴프렉스,85670,Dec-18,62539766,46621781,144998447,24560134,84153839,195502399,497,10578020,60844608,7370622,2870,10551258,13.73
(주)뉴프렉스,85670,Dec-19,47575821,63892876,137433890,13553447,87756530,128250921,375,10578020,49677361,-9634357,2125,-9956858,-17.75
(주)뉴프렉스,85670,Dec-20,48569063,81732541,135598581,4209021,95815266,148601521,314,10884796,39783315,-9350535,2370,-9761926,-21.42
(주)다산네트웍스,39560,Dec-10,206049238,117165926,280393633,40051275,139474204,207463115,340,10466466,140919429,22703456,10750,24451270,16.54
(주)다산네트웍스,39560,Dec-11,126511147,71348618,247042255,29129213,103640345,144096268,386,10466466,143401910,-3435324,5180,136315,-1.89
(주)다산네트웍스,39560,Dec-12,100405677,42651654,213555241,19157700,79698317,136034007,384,10466466,133856924,-11535660,4635,3711295,-7.14
